listing_id,neighbourhood_cleansed,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,total_days,total_occupied_days,occupancy_rate
595491366424087670,Midtown,Entire home/apt,2,0,,False,365,59,0.1616438356164383
1506514494771990276,Lower East Side,Entire home/apt,2,0,,True,365,0,0.0
16237242,Williamsburg,Entire home/apt,4,6,4.5,False,365,365,1.0
31459394,Upper East Side,Entire home/apt,3,6,4.33,False,365,0,0.0
779776296413227357,Greenwich Village,Entire home/apt,1,9,4.78,False,365,278,0.7616438356164383
848627681349272330,Upper East Side,Entire home/apt,2,5,4.0,False,365,26,0.0712328767123287
6919971,Upper West Side,Entire home/apt,2,1,5.0,False,365,365,1.0
822706296375987906,Bushwick,Private room,4,3,5.0,False,365,0,0.0
9915643,Prospect-Lefferts Gardens,Private room,2,273,4.9,False,365,0,0.0
22703920,Canarsie,Private room,2,24,4.71,False,365,365,1.0
26896131,Prospect Heights,Entire home/apt,3,4,4.75,False,365,365,1.0
1155914477966679546,Midtown,Entire home/apt,2,18,4.61,False,365,57,0.1561643835616438
836969659440950649,Chelsea,Entire home/apt,6,7,4.57,True,365,208,0.5698630136986301
1515582981814972231,South Slope,Entire home/apt,7,0,,False,365,192,0.5260273972602739
54292164,Chelsea,Entire home/apt,2,13,4.62,False,365,94,0.2575342465753424
1564556629885587462,East Village,Entire home/apt,2,0,,False,365,272,0.7452054794520547
47508411,Gramercy,Entire home/apt,2,43,4.74,False,365,365,1.0
12344255,Sheepshead Bay,Entire home/apt,2,0,,False,365,365,1.0
12408554,Bushwick,Private room,1,0,,False,365,365,1.0
9079871,East Flatbush,Entire home/apt,8,292,4.66,False,365,27,0.073972602739726
752289,SoHo,Entire home/apt,2,16,4.81,False,365,161,0.4410958904109589
572326237669668984,Midtown,Entire home/apt,4,1,1.0,False,365,128,0.3506849315068493
1085122041734203848,Sunset Park,Private room,1,6,5.0,False,365,278,0.7616438356164383
650494137473244378,Bedford-Stuyvesant,Entire home/apt,4,29,4.97,True,365,345,0.9452054794520548
813554,Park Slope,Entire home/apt,2,38,4.95,False,365,365,1.0
865605175906629028,Bedford-Stuyvesant,Entire home/apt,2,0,,False,365,0,0.0
52221919,Harlem,Private room,2,13,4.92,False,365,2,0.0054794520547945
729851909412860042,Concourse,Private room,1,10,4.6,False,365,58,0.158904109589041
721630571917703682,Park Slope,Private room,1,0,,False,365,0,0.0
692387294521905195,Washington Heights,Private room,1,0,,False,365,309,0.8465753424657534
1288223732677733582,Washington Heights,Private room,1,0,,False,365,365,1.0
1171048735255126040,East Flatbush,Private room,4,0,,False,365,276,0.7561643835616438
53280628,Williamsburg,Private room,1,3,4.67,False,365,29,0.0794520547945205
47939524,Crown Heights,Private room,1,184,4.82,False,365,313,0.8575342465753424
907422793177630168,Prospect-Lefferts Gardens,Private room,1,2,5.0,False,365,179,0.4904109589041095
33529806,Sheepshead Bay,Entire home/apt,1,5,4.4,False,365,365,1.0
48361053,Greenpoint,Entire home/apt,4,13,4.92,False,365,365,1.0
1264002589926448873,Ozone Park,Private room,1,2,4.5,True,365,240,0.6575342465753424
34485693,Midtown,Private room,2,0,,False,365,49,0.1342465753424657
1163898717571709199,Midtown,Entire home/apt,2,0,,False,365,2,0.0054794520547945
827438472468771617,East Harlem,Entire home/apt,2,1,5.0,False,365,1,0.0027397260273972
1476732023886181140,Chinatown,Entire home/apt,2,0,,False,365,61,0.1671232876712328
1250311553581512433,Springfield Gardens,Private room,2,12,5.0,False,365,13,0.0356164383561643
2165107,Upper East Side,Entire home/apt,2,34,4.56,False,365,365,1.0
7065653,Kips Bay,Entire home/apt,5,6,4.67,False,365,365,1.0
9613541,Astoria,Private room,2,0,,False,365,365,1.0
52834797,Harlem,Entire home/apt,2,8,5.0,False,365,365,1.0
1564557109840064891,Stuyvesant Town,Private room,1,0,,False,365,189,0.5178082191780821
51889217,Rego Park,Private room,2,0,,False,365,365,1.0
36101436,Bay Ridge,Private room,1,89,4.97,True,365,126,0.3452054794520547
47803501,Bedford-Stuyvesant,Private room,1,114,4.61,True,365,46,0.1260273972602739
53088652,Rosebank,Entire home/apt,4,57,4.32,False,365,124,0.3397260273972602
45884646,Williamsburg,Entire home/apt,2,0,,True,365,87,0.2383561643835616
818227802719333778,East Flatbush,Entire home/apt,10,19,5.0,False,365,215,0.5890410958904109
27503062,Inwood,Private room,2,25,4.6,False,365,4,0.010958904109589
968158472503477954,Forest Hills,Private room,2,96,4.97,True,365,118,0.3232876712328767
576779694848403067,Bedford-Stuyvesant,Entire home/apt,6,94,4.74,False,365,95,0.2602739726027397
4440181,Bedford-Stuyvesant,Private room,2,13,4.92,False,365,365,1.0
1050048796422516580,East Village,Entire home/apt,2,4,4.0,False,365,30,0.0821917808219178
25416257,Prospect-Lefferts Gardens,Entire home/apt,16,0,,False,365,365,1.0
27933214,Bergen Beach,Entire home/apt,2,147,4.8,False,365,182,0.4986301369863013
5624807,Crown Heights,Entire home/apt,6,2,5.0,False,365,365,1.0
6676383,Clinton Hill,Entire home/apt,4,5,4.8,False,365,365,1.0
26344667,Harlem,Private room,2,4,4.5,False,365,365,1.0
766587114043547494,Midtown,Private room,2,1,5.0,False,365,365,1.0
38997592,South Slope,Entire home/apt,2,71,4.99,False,365,95,0.2602739726027397
1353789074090447586,Cypress Hills,Entire home/apt,2,4,5.0,False,365,23,0.0630136986301369
19700585,Sunnyside,Entire home/apt,2,8,4.88,False,365,365,1.0
10096773,Chelsea,Entire home/apt,2,1,5.0,False,365,365,1.0
49545608,Williamsburg,Entire home/apt,4,38,4.87,True,365,365,1.0
1558081626175412385,Ridgewood,Private room,1,0,,False,365,274,0.7506849315068493
547150124220387168,Stapleton,Entire home/apt,2,15,4.93,True,365,34,0.0931506849315068
35683483,Upper East Side,Entire home/apt,2,2,5.0,False,365,0,0.0
750494588662372881,Morris Park,Private room,2,11,4.91,True,365,214,0.5863013698630136
1467539689846544825,Midtown,Entire home/apt,6,0,,False,365,195,0.5342465753424657
1381344344644979753,Bedford-Stuyvesant,Shared room,1,0,,False,365,117,0.3205479452054794
1546599239028221949,Flushing,Private room,1,0,,True,365,6,0.0164383561643835
50736061,Mott Haven,Private room,1,1,5.0,False,365,365,1.0
26839660,Upper East Side,Entire home/apt,3,0,,False,365,187,0.5123287671232876
1007250126684081182,Castle Hill,Private room,2,0,,False,365,96,0.2630136986301369
22956955,Cypress Hills,Private room,2,16,4.56,False,365,365,1.0
1561133080526575659,Upper West Side,Shared room,1,0,,False,365,1,0.0027397260273972
47101654,Bedford-Stuyvesant,Private room,1,1,5.0,False,365,180,0.4931506849315068
1009234762958456511,Brownsville,Private room,1,2,5.0,False,365,275,0.7534246575342465
49734537,Brighton Beach,Entire home/apt,3,7,5.0,False,365,96,0.2630136986301369
19891590,Windsor Terrace,Entire home/apt,2,52,4.94,False,365,163,0.4465753424657534
899872901354773320,Bushwick,Entire home/apt,3,10,5.0,False,365,365,1.0
1375678570648414210,Laurelton,Private room,1,2,5.0,True,365,302,0.8273972602739726
34370526,Harlem,Entire home/apt,2,52,4.71,True,365,7,0.0191780821917808
1383648026356907942,Flatbush,Entire home/apt,4,0,,True,365,211,0.5780821917808219
35712515,Jamaica,Private room,2,53,4.77,False,365,1,0.0027397260273972
14139170,Bushwick,Private room,2,9,4.78,False,365,365,1.0
644940552640814865,Chelsea,Entire home/apt,1,4,4.5,False,365,276,0.7561643835616438
41466873,Upper East Side,Private room,2,0,,False,365,270,0.7397260273972602
1043748005274694200,Upper West Side,Private room,2,0,,False,365,265,0.7260273972602739
663802664162665250,Bushwick,Private room,1,7,4.86,False,365,156,0.4273972602739726
40302589,SoHo,Entire home/apt,1,16,4.75,False,365,9,0.0246575342465753
30089134,Maspeth,Entire home/apt,5,32,4.28,False,365,365,1.0
15820512,Williamsburg,Entire home/apt,2,126,4.85,False,365,365,1.0
22516899,Crown Heights,Private room,2,0,,False,365,365,1.0
1564637411182757213,Harlem,Private room,1,0,,False,365,243,0.6657534246575342
21325114,Downtown Brooklyn,Private room,2,0,,False,365,365,1.0
34759503,Harlem,Private room,2,4,5.0,False,365,365,1.0
9510385,Astoria,Private room,1,59,4.76,False,365,1,0.0027397260273972
20667471,Greenpoint,Entire home/apt,4,3,5.0,False,365,365,1.0
5520934,Williamsburg,Entire home/apt,2,10,4.9,False,365,2,0.0054794520547945
924523082287697779,Hell's Kitchen,Entire home/apt,2,3,4.67,False,365,147,0.4027397260273972
1150083229376322051,Harlem,Entire home/apt,5,1,5.0,False,365,123,0.336986301369863
26744053,Allerton,Private room,1,0,,False,365,365,1.0
46356028,Briarwood,Entire home/apt,2,9,4.56,False,365,10,0.0273972602739726
42088954,Canarsie,Entire home/apt,2,62,4.71,True,365,46,0.1260273972602739
28751496,Astoria,Entire home/apt,5,11,4.55,False,365,365,1.0
35995460,Financial District,Entire home/apt,1,52,4.71,False,365,152,0.4164383561643835
13156982,Greenpoint,Entire home/apt,4,17,4.88,False,365,365,1.0
52614450,Clinton Hill,Private room,2,20,4.8,False,365,365,1.0
31214157,Kips Bay,Private room,2,11,4.91,False,365,365,1.0
45327468,Bedford-Stuyvesant,Private room,1,9,4.78,False,365,122,0.3342465753424657
1409436664065007055,Harlem,Entire home/apt,4,1,5.0,True,365,43,0.1178082191780821
33829791,Woodside,Private room,2,2,3.0,False,365,365,1.0
776759187442679676,Williamsburg,Entire home/apt,2,1,5.0,False,365,1,0.0027397260273972
7294773,East Village,Entire home/apt,6,17,4.82,True,365,97,0.2657534246575342
1450531415928096245,Murray Hill,Entire home/apt,4,0,,False,365,31,0.084931506849315
42390702,Upper East Side,Entire home/apt,4,0,,False,365,365,1.0
779838,Upper West Side,Entire home/apt,2,16,4.56,False,365,0,0.0
827462961830020987,East Harlem,Entire home/apt,4,5,4.6,False,365,1,0.0027397260273972
68253,Astoria,Private room,1,0,,False,365,365,1.0
862392297051752336,Bedford-Stuyvesant,Entire home/apt,2,2,3.0,False,365,365,1.0
1463078492882185808,Greenwich Village,Entire home/apt,4,1,5.0,False,365,7,0.0191780821917808
1163877488114193371,Tribeca,Entire home/apt,2,0,,False,365,2,0.0054794520547945
8486828,Bedford-Stuyvesant,Private room,2,14,4.71,False,365,365,1.0
6759052,Bedford-Stuyvesant,Private room,1,1,5.0,False,365,365,1.0
1479552594208651789,Midtown,Private room,2,1,5.0,False,365,312,0.8547945205479452
949486536388006369,Jackson Heights,Private room,2,75,4.87,True,365,168,0.4602739726027397
20206749,Greenpoint,Entire home/apt,4,0,,False,365,365,1.0
9532048,Crown Heights,Private room,2,0,,False,365,365,1.0
46417510,Bushwick,Entire home/apt,2,0,,False,365,195,0.5342465753424657
4173751,Harlem,Entire home/apt,2,4,4.5,False,365,365,1.0
16230640,Upper West Side,Private room,2,3,5.0,False,365,365,1.0
35550080,Whitestone,Private room,1,8,4.75,False,365,365,1.0
701478587424915639,Bedford-Stuyvesant,Private room,1,1,3.0,False,365,28,0.0767123287671232
26874326,New Brighton,Private room,2,23,4.74,True,365,208,0.5698630136986301
45449294,Midtown,Entire home/apt,3,0,,False,365,80,0.2191780821917808
886124063208895750,Coney Island,Private room,2,5,4.8,True,365,0,0.0
679620321278287273,Crown Heights,Entire home/apt,2,4,5.0,False,365,365,1.0
1177419977162681836,Fort Hamilton,Entire home/apt,2,77,4.77,False,365,12,0.0328767123287671
579764154480991074,Midtown,Entire home/apt,3,8,4.25,False,365,365,1.0
806094615394129673,Long Island City,Private room,1,0,,False,365,1,0.0027397260273972
680477646462919105,Bedford-Stuyvesant,Entire home/apt,3,14,4.79,False,365,59,0.1616438356164383
802000625835644351,Clinton Hill,Entire home/apt,4,0,,False,365,332,0.9095890410958904
3585309,Flushing,Entire home/apt,9,14,4.93,False,365,365,1.0
602928733998502439,Greenpoint,Entire home/apt,2,9,5.0,False,365,276,0.7561643835616438
8444730,Greenwich Village,Entire home/apt,2,3,4.67,False,365,365,1.0
26064779,Bedford-Stuyvesant,Private room,2,92,4.82,False,365,186,0.5095890410958904
14213699,Hell's Kitchen,Entire home/apt,3,1,3.0,False,365,6,0.0164383561643835
43423642,Bedford-Stuyvesant,Private room,2,1,5.0,False,365,365,1.0
50106057,Springfield Gardens,Entire home/apt,4,29,4.59,False,365,19,0.0520547945205479
1141375785847953036,Randall Manor,Private room,3,15,5.0,False,365,281,0.7698630136986301
21683672,Upper West Side,Private room,2,0,,False,365,365,1.0
41007370,Randall Manor,Private room,1,22,5.0,False,365,134,0.3671232876712328
1116643396778760404,Brighton Beach,Entire home/apt,2,2,5.0,True,365,365,1.0
48982479,Crown Heights,Private room,1,1,3.0,False,365,0,0.0
1231928660362309154,East Flatbush,Entire home/apt,2,0,,False,365,299,0.8191780821917808
1189827119365775359,Hell's Kitchen,Entire home/apt,2,0,,False,365,2,0.0054794520547945
53561733,Midtown,Entire home/apt,3,2,5.0,False,365,218,0.5972602739726027
12170991,Upper West Side,Private room,2,2,4.0,False,365,365,1.0
1233279651224739877,Bedford-Stuyvesant,Private room,2,0,,True,365,365,1.0
37086914,Williamsburg,Entire home/apt,2,5,4.6,False,365,154,0.421917808219178
1268464235583305425,Brownsville,Private room,1,0,,False,365,278,0.7616438356164383
26450631,Woodside,Entire home/apt,7,237,4.82,False,365,185,0.5068493150684931
52987956,Upper West Side,Private room,4,0,,False,365,361,0.9890410958904108
1371096228043481841,Clinton Hill,Entire home/apt,4,0,,False,365,148,0.4054794520547945
757277022393109416,Hell's Kitchen,Entire home/apt,5,4,4.25,False,365,1,0.0027397260273972
1558384549766151917,Ozone Park,Private room,1,0,,False,365,0,0.0
1489525490622230147,Flushing,Shared room,1,1,4.0,True,365,181,0.4958904109589041
37210398,Astoria,Entire home/apt,3,0,,False,365,365,1.0
54210471,East New York,Entire home/apt,6,78,4.99,False,365,0,0.0
18396197,Boerum Hill,Entire home/apt,5,7,4.86,False,365,365,1.0
8614204,Prospect-Lefferts Gardens,Entire home/apt,12,121,4.5,False,365,0,0.0
41268569,Upper East Side,Entire home/apt,2,0,,False,365,224,0.6136986301369863
4785563,Carroll Gardens,Private room,2,0,,False,365,365,1.0
46559649,Financial District,Private room,2,31,4.71,False,365,365,1.0
50229577,Sunnyside,Private room,2,2,4.5,False,365,330,0.9041095890410958
50695926,Bushwick,Private room,1,2,4.0,False,365,0,0.0
1238949505811904967,Hell's Kitchen,Private room,2,46,4.02,False,365,256,0.7013698630136986
1029024468197803771,Midtown,Private room,4,20,4.35,False,365,219,0.6
37132673,Jackson Heights,Entire home/apt,2,262,4.42,False,365,275,0.7534246575342465
28350560,East Elmhurst,Private room,1,12,4.75,False,365,28,0.0767123287671232
30183428,Upper West Side,Entire home/apt,3,41,4.61,False,365,365,1.0
40986707,East New York,Private room,2,122,4.89,False,365,118,0.3232876712328767
12811459,Hell's Kitchen,Entire home/apt,8,43,4.72,True,365,32,0.0876712328767123
571977872591258118,Gowanus,Private room,6,0,,False,365,44,0.1205479452054794
659862982529135703,Woodside,Private room,2,2,5.0,False,365,333,0.9123287671232876
51079553,Upper West Side,Private room,2,0,,False,365,210,0.5753424657534246
874892322289038312,Williamsbridge,Private room,1,9,4.33,True,365,185,0.5068493150684931
1490828505151108109,Morrisania,Private room,2,0,,True,365,0,0.0
44012173,Jackson Heights,Private room,1,0,,False,365,365,1.0
893642577224806699,Flatlands,Private room,2,12,4.5,False,365,188,0.5150684931506849
1496420525465537495,Prospect-Lefferts Gardens,Private room,1,0,,False,365,0,0.0
43097106,Gravesend,Entire home/apt,6,0,,False,365,365,1.0
42332401,Midtown,Entire home/apt,6,2,5.0,True,365,27,0.073972602739726
1186411363056506266,Greenpoint,Entire home/apt,4,2,5.0,False,365,15,0.0410958904109589
9011614,Bedford-Stuyvesant,Entire home/apt,6,1,5.0,False,365,365,1.0
1008044309422309241,East New York,Private room,2,0,,False,365,96,0.2630136986301369
1451611826946710562,Bedford-Stuyvesant,Entire home/apt,2,8,5.0,False,365,93,0.2547945205479452
1490591778799914515,Harlem,Entire home/apt,10,0,,False,365,19,0.0520547945205479
771313186883528138,Financial District,Entire home/apt,2,0,,False,365,365,1.0
